Microsoft.Beihai.Core.View3D,{b953e367-5aac-5ef8-ad06-8e129d640c8b}
Microsoft.Beihai.Creation.Paint,{37395d7d-7ced-4d40-9790-766523a493ee}
Microsoft.Beihai.Prototype.ViewerLite,{2036e479-41c0-55cf-cb4b-c2a92d6132f5}
Microsoft.Beihai.Prototype.ViewerLite.Tracing,{de3b7484-62ce-56fc-fb20-c3d2fb50f6ef}
Microsoft.Bing.OfflineSearch,{fe8bc1ec-d174-4f17-83e8-6ab4a03c93be}
Microsoft.BitLocker.BDERepair,{cfd95a4e-cd5b-4f57-9eeb-fe9683e8e407}
Microsoft.Build.ComponentDataGenerator.CompDataGenerator,{2c3d4987-ac31-5365-6136-a577a04ec4e4}
Microsoft.Build.DominoXml2Dsc,{5add6076-5ee0-5ef2-e953-232d5f33dcb7}
Microsoft.Build.Internal.TraceFileUtilities.ExtractBuildTraceData.TraceDataExtractor,{07a0f519-645f-53f3-7bc3-3880a85421bb}
Microsoft.Build.MergePkgBlueprint.MergeEditionBlueprintsCommand,{12bdb646-0c04-5d90-6a49-e0ad7f341b58}
Microsoft.Build.MergePkgBlueprint.MergePackageBlueprintsCommand,{8a619ec1-a0da-5fc0-1fb5-55b14b68af7c}
Microsoft.Build.Signing.SubmitToPrs,{32db23a6-b519-5005-6871-37dcb8aa3648}
Microsoft.Build.ToolRedirector,{5aab9a5a-235f-587a-6103-f681ee2d8d11}
Microsoft.Build.Trace.ShowIncludes,{391adca2-d993-5449-8e99-3ec2b288c4ab}
Microsoft.Build.WrapItUp,{2fd80bb6-ae43-5bab-097d-080888ce65e0}
Microsoft.CAndE.ADFabric.AutoJoin,{0c7964f6-0865-4847-b379-1b574381bcb7}
Microsoft.CAndE.ADFabric.CDJ,{acc49822-f0b2-49ff-bff2-1092384822b6}
Microsoft.CAndE.ADFabric.CDJ.AzureSecureVMJoin,{7ae961f7-1262-48e2-b237-acba331cc970}
Microsoft.CAndE.ADFabric.CDJ.Recovery,{5aa2dc10-e0e7-4bb2-a186-d230d79442d7}
Microsoft.CAndE.ADFabric.CDJ.UnitTests,{00ab0b75-b6ff-4351-b8e1-aada57fdcf3c}
Microsoft.CAndE.ADFabric.WinRT.NGC.LogonCertRenew,{519b3601-c289-44fb-b3e4-a05841d2790d}
Microsoft.Catalonia2020,{0548f348-3b25-5d91-3c25-ebac34fb45f5}
Microsoft.CFU.Production,{4bc2c781-7503-59b9-cd0b-e3d08a3d8e75}
Microsoft.ClientLicensing.InheritedActivation,{5e30c57a-8730-4809-945e-0d5df7aa58e5}
Microsoft.ClipC,{ed0c10a5-5396-4a96-9ee3-6f4aa0d1120d}
